[11:40:15] Harvesting Category: Christopher_Dresser -> dresser
[11:40:16]   [DOWNLOADING] A_Victorian_%27Komai%27_solid_silver_water_jug_by_Christopher_Dresser%2C_c.1880.jpg (1240 KB)
[11:40:18]   [DOWNLOADING] The_art_of_decorative_design_%28IA_artofdecoratived00dres%29.pdf (18903 KB)
[11:40:35]   [DOWNLOADING] Christopher_Dresser_-_Sidewall_-_Google_Art_Project.jpg (5050 KB)
[11:40:40]   [DOWNLOADING] Christopher_dresser%2C_per_coalbrookdale_company_of_ironbridge%2C_guardaroba%2C_inghilterra_1870_ca.jpg (3280 KB)
[11:40:48]   [DOWNLOADING] Christopher_Dresser00.jpg (155 KB)
[11:40:49]   [DOWNLOADING] Dresservanda.jpg (51 KB)
[11:40:50]   [DOWNLOADING] Length_of_woven_wool_and_silk_MET_AR1378.jpg (123 KB)
[11:40:51]   [DOWNLOADING] Piece_MET_DP17542_1995.252.jpg (1350 KB)
[11:40:53]   [DOWNLOADING] Reptilian_Fabric.jpg (94 KB)
[11:40:54]   [DOWNLOADING] Side_chair_MET_DT3787.jpg (1248 KB)
[11:40:57] Harvesting Category: Peter_Behrens -> behrens
[11:40:57]   [DOWNLOADING] De-Peter_Behrens.ogg (22 KB)
[11:40:58]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:40:58]   [DOWNLOADING] D%C3%BChrkoop%2C_Rudolf_-_Peter_Behrens%2C_Architekt_%28Zeno_Fotografie%29.jpg (216 KB)
[11:40:58]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:40:58]   [DOWNLOADING] Peter_Behrens_by_Rudolf_D%C3%BChrkoop_-_MKG_%28cropped%29.jpg (297 KB)
[11:40:58]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:40:58]   [DOWNLOADING] Peter_Behrens_by_Rudolf_D%C3%BChrkoop_-_MKG.jpg (722 KB)
[11:40:58]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:40:58]   [DOWNLOADING] Titzenthaler%2C_Waldemar_-_Behrens%2C_Peter.jpeg (33107 KB)
[11:40:58]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:40:58]   [DOWNLOADING] Peter_Behrens%2C_um_1913.jpg (902 KB)
[11:40:58]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:40:58]   [DOWNLOADING] Peter_Behrens_by_Rudolf_Bosselt%2C_1918%2C_bronze_-_Museum_K%C3%BCnstlerkolonie_Darmstadt_-_Mathildenh%C3%B6he_-_Darmstadt%2C_Germany_-_DSC06385.jpg (5829 KB)
[11:40:58]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:40:58]   [DOWNLOADING] Max_Liebermann_Portr%C3%A4t_Peter_Behrens.jpg (72 KB)
[11:40:58]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:40:58]   [DOWNLOADING] 1915-06_Ausstellung_Verwundeten-_und_Krankenf%C3%BCrsorge_Erster_Weltkrieg_Magdeburg_Freimaurerloge_Ferdinand_zur_Gl%C3%BCckseligkeit_Peter_Behrens_A._Molling_%26_Comp._Hannover_Berlin.jpg (383 KB)
[11:40:58]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:40:58]   [DOWNLOADING] Arbeitszimmer_des_Herausgebers_Alexander_Koch%2C_c._1903.jpg (1390 KB)
[11:40:58]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:40:58]   [DOWNLOADING] Behrens_kiss.jpg (880 KB)
[11:40:59]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:41:00] Harvesting Category: Raymond_Loewy -> loewy
[11:41:00]   [DOWNLOADING] Anscoflex_II_%28John_Kratz%29.jpg (425 KB)
[11:41:00]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:41:00]   [DOWNLOADING] Columnair_tall_clock_and_radio%2C_by_Raymond_Loewy%2C_Westinghouse_Electric_Co.%2C_Cranberry%2C_PA%2C_c._1930%2C_mahogany%2C_oak_veneer%2C_enameled_stee.%2C_Masonite_-_Montreal_Museum_of_Fine_Arts_-_Montreal%2C_Canada_-DSC09032.jpg (6267 KB)
[11:41:00]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:41:00]   [DOWNLOADING] Elna_Lotus_ferm%C3%A9e.jpg (1039 KB)
[11:41:00]   [ERROR] Download failed: The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).
[11:41:00]   [DOWNLOADING] Elna_Lotus_ouverte.jpg (966 KB)
